epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2816.89,0.9186,0.57859,1.16701,0.85673,0.81634,0.86244,0.51503,1.75197,1.21474,1.94949,0.000198214,0.000198214,0.000198214
67,2858.11,0.92547,0.57418,1.17489,0.81084,0.81654,0.82393,0.46322,1.79816,1.27412,1.98644,0.00019271,0.00019271,0.00019271
68,2899.69,0.90901,0.57195,1.17098,0.86518,0.79791,0.84627,0.49917,1.73359,1.21398,1.89758,0.000187205,0.000187205,0.000187205
69,2942.25,0.91887,0.57463,1.16338,0.85956,0.82999,0.8468,0.49686,1.75518,1.22323,1.95461,0.000181701,0.000181701,0.000181701
70,2982.78,0.8997,0.55874,1.1645,0.88225,0.82772,0.84922,0.5085,1.74985,1.26987,1.92938,0.000176196,0.000176196,0.000176196
71,3024.18,0.89355,0.55886,1.15838,0.85134,0.83435,0.85757,0.50054,1.78461,1.23765,2.03117,0.000170692,0.000170692,0.000170692
72,3065.42,0.8726,0.54968,1.13869,0.84781,0.81589,0.84108,0.49592,1.75603,1.22129,1.95963,0.000165188,0.000165188,0.000165188
73,3107.03,0.86466,0.53286,1.14494,0.82394,0.81029,0.83852,0.50437,1.7169,1.26956,1.91983,0.000159683,0.000159683,0.000159683
74,3147.59,0.89272,0.5571,1.15767,0.83561,0.77434,0.81909,0.47505,1.81696,1.38304,2.03389,0.000154179,0.000154179,0.000154179
75,3188.41,0.87329,0.54546,1.13894,0.82518,0.82104,0.83037,0.48737,1.77524,1.32354,1.99818,0.000148674,0.000148674,0.000148674
76,3230.52,0.85686,0.53507,1.14275,0.83096,0.81747,0.8406,0.48724,1.752,1.24682,1.98195,0.00014317,0.00014317,0.00014317
77,3271.37,0.82223,0.50173,1.11908,0.85339,0.78182,0.83388,0.48939,1.7409,1.25523,1.96572,0.000137666,0.000137666,0.000137666
78,3312.34,0.8491,0.53467,1.13339,0.84844,0.79076,0.8336,0.50153,1.74358,1.28753,1.939,0.000132161,0.000132161,0.000132161
79,3354.29,0.82894,0.51407,1.11411,0.87367,0.81024,0.84938,0.49553,1.71858,1.2281,1.94484,0.000126657,0.000126657,0.000126657
80,3395.54,0.80985,0.50645,1.11523,0.87979,0.8307,0.84937,0.49498,1.7456,1.24029,1.98753,0.000121152,0.000121152,0.000121152
81,3436.32,0.80187,0.49892,1.1106,0.83326,0.83248,0.83657,0.50079,1.71595,1.24277,1.94377,0.000115648,0.000115648,0.000115648
82,3477.37,0.80871,0.50533,1.11351,0.84804,0.81272,0.83097,0.50541,1.68829,1.24499,1.93824,0.000110144,0.000110144,0.000110144
83,3519.29,0.81253,0.49677,1.10559,0.91102,0.81843,0.84787,0.49482,1.70643,1.21218,1.90467,0.000104639,0.000104639,0.000104639
84,3559.92,0.78126,0.48251,1.09117,0.85083,0.8306,0.84474,0.51518,1.64966,1.18141,1.89695,9.91348e-05,9.91348e-05,9.91348e-05
85,3600.68,0.77446,0.4656,1.08413,0.88785,0.81764,0.85285,0.50999,1.6854,1.24331,1.93751,9.36304e-05,9.36304e-05,9.36304e-05
86,3642.19,0.77436,0.47906,1.09211,0.86982,0.81333,0.85076,0.52241,1.72296,1.24633,1.97405,8.8126e-05,8.8126e-05,8.8126e-05
87,3684.54,0.76713,0.46349,1.08133,0.86975,0.80212,0.83486,0.50019,1.74708,1.3081,1.98697,8.26216e-05,8.26216e-05,8.26216e-05
